barcode,ENSG00000270195.1,SLBP
TCGA-60-2711-01,7911.42864162,657.112
TCGA-39-5040-01,15251.1615465,1634.39
TCGA-63-6202-01,9630.20914063,1882.74
TCGA-66-2756-01,17925.0756063,1835.4
TCGA-77-8131-01,14091.559024,884.349
TCGA-34-5929-01,13946.687441499998,1047.81
TCGA-NK-A5D1-01,54212.2953486,1959.11
TCGA-33-6737-01,5345.28335061,944.239
TCGA-98-8021-01,42878.6113319,1865.2
TCGA-66-2786-01,7598.17456091,1168.97
TCGA-43-2578-01,20977.5589067,973.883000000001
TCGA-J1-A4AH-01,40366.7091265,1428.44
TCGA-85-8350-01,23833.1909155,692.082
TCGA-56-8503-01,29711.584827999995,1221.29
TCGA-63-7022-01,11350.7764499,762.163
TCGA-66-2793-01,179673.453056,10874.6
TCGA-90-A59Q-01,70828.84504710001,981.009999999999
TCGA-18-4086-01,18951.0634948,1805.39
TCGA-56-1622-01,5052.19932341,1347.93
TCGA-56-8625-01,23366.882118,1037.27
TCGA-56-7580-01,23303.9517433,1718.92
TCGA-79-5596-01,11178.9491788,849.871
TCGA-56-6545-01,7324.32319508,779.933
TCGA-22-1005-01,40315.9516334,840.951
TCGA-18-5595-01,5399.31925383,2367.27
TCGA-43-A56V-01,52386.0069309,1776.0
TCGA-85-8277-01,29321.5089078,1503.53
TCGA-21-1082-01,77667.98518460001,4303.2
TCGA-68-8251-01,10992.669459899998,1094.36
TCGA-46-3766-01,2464.19524312,839.228
TCGA-94-7943-01,8124.40777343,898.89
TCGA-63-A5MS-01,15833.432292299998,743.518
TCGA-66-2771-01,11219.7011969,1999.42
TCGA-39-5029-01,4236.69471908,1375.86
TCGA-21-1077-01,5750.42025988,968.546
TCGA-22-4605-01,5740.49242901,706.492
TCGA-77-A5G3-01,24347.4937828,1253.41
TCGA-66-2742-01,19418.1841291,1704.67
TCGA-58-A46J-01,34119.316778500004,950.617
TCGA-18-3416-01,46486.5123427,2949.07
TCGA-60-2725-01,8275.77075012,1349.03
TCGA-37-4129-01,49421.17122830001,1283.35
TCGA-46-3768-01,4238.57497414,2032.26
TCGA-21-5786-01,3437.30611445,1382.93
TCGA-33-A4WN-01,14716.972322999998,809.6
TCGA-39-5027-01,13305.1517548,1601.14
TCGA-66-2766-01,6276.91390297,1561.41
TCGA-22-4596-01,8566.88124027,1456.62
TCGA-51-4079-01,3655.01656245,1904.25
TCGA-NK-A5CT-01,38757.9109486,885.956
TCGA-56-A62T-01,16810.8234806,977.768
TCGA-39-5022-01,14702.155336000002,1024.76
TCGA-33-4583-01,8178.51517694,1237.16
TCGA-96-A4JL-01,75999.4902347,3045.13
TCGA-77-8133-01,38067.6589191,1356.52
TCGA-37-3789-01,13108.4728556,1302.33
TCGA-85-A53L-01,29043.0654513,1003.91
TCGA-96-7544-01,6868.76457592,1470.57
TCGA-NC-A5HH-01,80659.2468246,2046.03
TCGA-21-A5DI-01,31057.8864195,1215.97
TCGA-43-8116-01,16320.9409171,3057.38
TCGA-60-2707-01,5221.05471001,1203.07
TCGA-21-1081-01,25106.6428797,1580.2
TCGA-63-A5MN-01,16145.0575297,1024.26
TCGA-34-5231-01,12301.0858504,1992.17
TCGA-66-2789-01,9570.37231483,1810.24
TCGA-58-8392-01,15252.3889054,1153.77
TCGA-22-5478-01,9709.88211533,2330.09
TCGA-56-7731-01,7131.59395455,973.256
TCGA-56-8082-01,7908.34752442,1467.55
TCGA-96-8169-01,10337.3622793,936.235
TCGA-77-A5G1-01,6150.5429251999985,813.026
TCGA-66-2753-01,13214.8261824,1865.79
TCGA-63-5131-01,1949.01569835,546.562
TCGA-85-8582-01,14419.7329805,1297.63
TCGA-85-8049-01,12974.8469617,743.63
TCGA-33-6738-01,4640.04347205,888.883
TCGA-85-8072-01,18854.9008806,719.399
TCGA-66-2780-01,10490.0273218,1165.51
TCGA-21-1076-01,18578.0665081,1128.22
TCGA-21-1076-01,18578.0665081,1214.84
TCGA-56-6546-01,4637.24111264,1530.52
TCGA-63-A5MU-01,50634.8342342,1400.79
TCGA-18-3411-01,2551.16683993,1228.6
TCGA-92-7340-01,4233.8974296,932.331
TCGA-66-2734-01,10588.3735179,934.458999999999
TCGA-18-3408-01,3121.59672794,2194.28
TCGA-85-7697-01,7540.54388866,856.959
TCGA-43-3920-01,33622.5250402,2411.61
TCGA-85-A5B5-01,77531.8942847,1095.42
TCGA-22-5472-01,8267.58787902,736.183
TCGA-56-7222-01,3660.5733373,1117.44
TCGA-52-7812-01,14656.4368356,1816.15
TCGA-33-AASL-01,61244.8727049,1291.4
TCGA-98-8022-01,30272.0888069,1308.48
TCGA-22-4593-01,7360.96104707,1106.26
TCGA-21-1075-01,17216.0325932,2387.54
TCGA-77-8150-01,13300.0831255,715.55
TCGA-39-5036-01,8757.14549391,1429.38
TCGA-60-2703-01,2734.89188744,1019.99
TCGA-98-A53C-01,52820.63633369999,822.265
TCGA-22-0944-01,7581.04738155,1324.01
TCGA-34-5928-01,1715.9921459000002,806.659
TCGA-37-4141-01,20165.2203722,1643.21
TCGA-66-2755-01,10701.8996987,1906.79
TCGA-77-8136-01,17539.272024500002,1991.15
TCGA-43-8118-01,30425.7771777,1227.86
TCGA-85-8070-01,26771.0684252,990.685
TCGA-85-7844-01,17684.8223303,1399.11
TCGA-46-3767-01,7530.24333981,861.305
TCGA-66-2754-01,19773.8548961,1618.36
TCGA-66-2744-01,11535.8648597,1367.69
TCGA-39-5016-01,5297.89980215,1272.5
TCGA-60-2724-01,7765.71611066,1325.07
TCGA-85-8355-01,35937.7246108,1002.95
TCGA-77-A5G7-01,27708.5065115,1258.47
TCGA-39-5030-01,13528.5655662,1264.23
TCGA-60-2721-01,28685.9538271,817.377
TCGA-43-6771-01,3362.38056544,814.674
TCGA-85-6560-01,4975.36915857,1077.26
TCGA-37-A5EL-01,39820.6081602,1171.06
TCGA-L3-A4E7-01,33877.12940390001,579.121
TCGA-21-5783-01,8870.00727156,1027.11
TCGA-63-A5MY-01,25254.7431915,1097.06
TCGA-68-8250-01,16238.7340283,2056.68
TCGA-37-5819-01,28417.6088027,1770.13
TCGA-O2-A52V-01,16696.4114977,994.642
TCGA-22-5480-01,11914.7901865,1203.24
TCGA-18-3414-01,23528.1844343,1696.14
TCGA-66-2758-01,19600.0585267,1450.42
TCGA-60-2716-01,16777.878081299998,1247.84
TCGA-LA-A446-01,22984.0146178,1272.4
TCGA-98-8020-01,4880.16748735,825.786
TCGA-56-7822-01,5274.461899399998,924.607
TCGA-70-6722-01,1912.51914312,1876.57
TCGA-56-8305-01,27432.7277668,1370.47
TCGA-68-A59J-01,41738.624759199985,1233.31
TCGA-43-7658-01,84648.2930605,2950.33
TCGA-18-3419-01,9838.63329577,2041.55
TCGA-60-2713-01,15823.3856982,1042.9
TCGA-77-7338-01,8701.04602601,1574.87
TCGA-39-5019-01,7800.51795439,1355.35
TCGA-85-6175-01,5434.89060499,796.629
TCGA-58-8387-01,28489.3250499,1752.95
TCGA-43-7656-01,31306.5903308,1062.77
TCGA-37-3783-01,8886.77429234,1525.42
TCGA-77-7139-01,14271.1340534,1647.56
TCGA-22-4604-01,9314.13156807,1238.34
TCGA-66-2773-01,20466.5104914,1040.25
TCGA-46-6025-01,15231.1248699,1381.32
TCGA-98-A538-01,11161.0446544,1462.8
TCGA-NC-A5HI-01,42230.030817,1634.1
TCGA-34-2600-01,24818.6277477,1232.53
TCGA-56-8201-01,16379.4127162,906.469
TCGA-77-8148-01,28980.8358921,956.941
TCGA-56-8504-01,16140.877579499998,1238.72
TCGA-33-AASD-01,18678.001352900006,1050.22
TCGA-22-5482-01,8792.12225846,1578.52
TCGA-92-8064-01,34563.6255861,1053.92
TCGA-37-4130-01,62105.2732154,2861.64
TCGA-60-2704-01,11384.9780224,1003.76
TCGA-90-7767-01,12258.6791448,2367.3
TCGA-60-2726-01,53511.8134521,1482.72
TCGA-66-2781-01,11570.9655103,783.205
TCGA-56-8629-01,24436.3964461,948.199
TCGA-NC-A5HQ-01,46100.49473969999,643.847
TCGA-39-5011-01,8787.74090615,2138.81
TCGA-63-7020-01,19632.8577077,1057.49
TCGA-51-4081-01,30221.14584,1430.88
TCGA-34-2608-01,11662.5425374,1106.97
TCGA-39-5039-01,11802.8121043,1499.33
TCGA-85-7843-01,15063.519094100002,1320.16
TCGA-56-8308-01,16529.2819824,716.418
TCGA-51-4080-01,21179.4330581,2277.17
TCGA-85-A4JB-01,13596.1776613,1261.55
TCGA-56-A4BW-01,33699.5349464,949.015
TCGA-98-7454-01,15061.3784395,1060.07
TCGA-60-2696-01,8527.31393401,981.468000000001
TCGA-34-5240-01,8541.10561291,3306.21
TCGA-63-A5MP-01,32255.1470677,1853.27
TCGA-56-A4ZK-01,29812.214430400007,1385.73
TCGA-51-6867-01,9995.05244904,1021.16
TCGA-94-A4VJ-01,28524.9824587,1788.6
TCGA-22-0940-01,19313.258222,2009.35
TCGA-66-2770-01,27745.316217900006,1447.94
TCGA-52-7811-01,2670.93779297,1036.81
TCGA-98-A53A-01,29805.9631797,1202.06
TCGA-63-A5MM-01,25762.041178,1372.57
TCGA-66-2792-01,13002.5621339,1468.15
TCGA-34-5239-01,12033.3357782,1277.75
TCGA-NC-A5HJ-01,34532.8567799,1184.03
TCGA-33-4587-01,43590.9497923,1974.06
TCGA-56-A5DR-01,5832.68760621,1670.07
TCGA-94-7557-01,13592.181777000002,1449.72
TCGA-56-8307-01,28730.0182723,1800.27
TCGA-18-3406-01,9253.3045864,2574.8
TCGA-39-5037-01,11395.73002,1848.98
TCGA-85-A50Z-01,16782.569995700003,1525.95
TCGA-22-5479-01,20709.0846557,1490.18
TCGA-NC-A5HO-01,41017.7046825,1300.25
TCGA-37-3792-01,31730.9675493,1881.13
TCGA-77-7463-01,15139.947183200002,2063.09
TCGA-MF-A522-01,40407.5891065,1914.68
TCGA-56-7582-01,5409.46981786,1105.0
TCGA-85-6561-01,7887.32239808,908.38
TCGA-85-8353-01,11194.0998139,1109.0
TCGA-NK-A5CR-01,37152.7576408,2377.33
TCGA-58-8391-01,19950.1246883,1440.18
TCGA-22-1002-01,14319.3253615,1070.48
TCGA-21-1070-01,18809.4241282,1911.67
TCGA-85-7696-01,42294.0951628,911.302
TCGA-O2-A52S-01,26781.4561078,1612.17
TCGA-66-2759-01,10259.5311627,1448.25
TCGA-21-1079-01,6758.17231988,959.077
